date,value
03-05-2024,66911.45207237435
03-05-2024,66679.58000437348
03-05-2024,67347.08589433122
03-05-2024,67755.05692291417
03-05-2024,68756.76524220667
03-05-2024,66932.97908626935
03-05-2024,65367.98551583983
03-05-2024,65494.543159316556
03-05-2024,64109.43002672184
03-05-2024,60861.21751383954
03-05-2024,62368.77068717651
03-05-2024,63229.65288184539
03-05-2024,63187.11462193171
03-06-2024,64291.536557569496
03-06-2024,63480.83200603148
03-06-2024,63461.32382117756
03-06-2024,62932.60008300608
03-06-2024,63343.575169635325
03-06-2024,64601.19135568099
03-06-2024,66259.2513834996
03-06-2024,65795.866550663
03-06-2024,66568.476631443
03-06-2024,66863.68801565128
03-06-2024,66097.2017605717
03-06-2024,66673.19745952259
03-06-2024,67249.35220935008
03-06-2024,65900.44091039304
03-06-2024,66643.84563307448
03-06-2024,66241.88262302194
03-06-2024,66549.72923275077
03-06-2024,67137.29289618049
03-06-2024,67277.07494389065
03-06-2024,67062.15806570616
03-06-2024,66878.62207136894
03-06-2024,67186.8438322268
03-06-2024,66510.84965005158
03-06-2024,66070.34587306641
03-07-2024,66090.47344267186
03-07-2024,66240.59149776404
03-07-2024,66286.00636800102
03-07-2024,66176.98735366497
03-07-2024,65949.95973843226
03-07-2024,65868.5661374564
03-07-2024,65784.1442822503
03-07-2024,65858.11542252405
03-07-2024,66413.42975924523
03-07-2024,66630.08678777481
03-07-2024,66783.22990188068
03-07-2024,66949.40518953901
03-07-2024,66941.04470550807
03-07-2024,66731.94625852523
03-07-2024,67074.8013474624
03-07-2024,67066.3894906781
03-07-2024,67550.70461748529
03-07-2024,67267.24424193188
03-07-2024,67867.31534019599
03-07-2024,67664.82083108058
03-07-2024,67579.45139095139
03-07-2024,67659.60010050317
03-07-2024,67395.61882541564
03-07-2024,67181.90691398736
03-08-2024,66948.5735487261
03-08-2024,67048.63593506183
03-08-2024,67068.82202914161
03-08-2024,67078.00078310994
03-08-2024,67170.95909943392
03-08-2024,67145.08786927424
03-08-2024,66983.30728869085
03-08-2024,67528.95128139436
03-08-2024,67351.7947700865
03-08-2024,67419.53540442178
03-08-2024,67245.94073719019
03-08-2024,67392.23508279595
03-08-2024,67781.82820563662
03-08-2024,67605.34063363181
03-08-2024,67939.52898221125
03-08-2024,68596.77199239735
03-08-2024,68262.68611103103
03-08-2024,68027.73226762911
03-08-2024,68573.27412420565
03-08-2024,68708.65715043688
03-08-2024,68914.75952637971
03-08-2024,69230.35296813014
03-08-2024,68591.58068258016
03-08-2024,68521.48679553371
03-09-2024,68315.25192078314
03-09-2024,68212.42425733556
03-09-2024,68065.13955641475
03-09-2024,68393.12430516006
03-09-2024,68413.82100906003
03-09-2024,68395.11606198897
03-09-2024,68329.53218635013
03-09-2024,68571.91467536394
03-09-2024,68640.65757498972
03-09-2024,68447.88577830409
03-09-2024,68320.00162882732
03-09-2024,68331.10007730639
03-09-2024,68439.81439394373
03-09-2024,68635.12935208093
03-09-2024,68494.45567294193
03-09-2024,68250.9110083771
03-09-2024,68436.3232337393
03-09-2024,68301.15787692167
03-09-2024,68266.44611631021
03-09-2024,68427.31203777951
03-09-2024,68329.57903351013
03-09-2024,68490.30221718572
03-09-2024,68550.07945178785
03-09-2024,68496.98338780238
03-10-2024,68484.17019476912
03-10-2024,68508.15143530589
03-10-2024,69123.29045710243
03-10-2024,69049.58867184103
03-10-2024,69158.67734472512
03-10-2024,69528.0900713298
03-10-2024,69467.8857304194
03-10-2024,69417.75811984747
03-10-2024,69504.06893770996
03-10-2024,69750.71591662172
03-10-2024,69929.34790732135
03-10-2024,69850.9409701932
03-10-2024,69732.4790994434
03-10-2024,69935.16892686918
03-10-2024,69443.30903414228
03-10-2024,69294.94092859329
03-10-2024,69361.01643301504
03-10-2024,69623.17220889025
03-10-2024,69628.3100367491
03-10-2024,69400.75341713143
03-10-2024,69538.21958021224
03-10-2024,69435.06907402915
03-10-2024,69315.17843606384
03-10-2024,68469.704251247
03-11-2024,69075.66688195744
03-11-2024,68199.62550575974
03-11-2024,68336.2077307026
03-11-2024,68415.59675893692
03-11-2024,68615.22312339253
03-11-2024,68577.5772182512
03-11-2024,68563.24430735309
03-11-2024,69205.26835118457
03-11-2024,71279.90391993795
03-11-2024,71246.3456780312
03-11-2024,71674.46101927735
03-11-2024,71709.84850803514
03-11-2024,71629.25511544441
03-11-2024,72084.24153871679
03-11-2024,71489.46650963936
03-11-2024,72009.0030216976
03-11-2024,72226.11164756939
03-11-2024,72562.5783200364
03-11-2024,72537.24066014515
03-11-2024,72393.34049214896
03-11-2024,72017.11835229001
03-11-2024,72033.61950149534
03-11-2024,72333.15042181601
03-11-2024,72496.60001459855
03-12-2024,72130.55300765681
03-12-2024,72115.25757955947
03-12-2024,72413.03226698672
03-12-2024,72217.1508638615
03-12-2024,71615.01745131837
03-12-2024,71801.44805996516
03-12-2024,72022.41537104695
03-12-2024,72065.75205907576
03-12-2024,72187.2903247746
03-12-2024,71778.38856237082
03-12-2024,71946.38962813822
03-12-2024,71883.40798102334
03-12-2024,72067.21944967331
03-12-2024,72108.02696761957
03-12-2024,72284.34885229477
03-12-2024,71814.66009233143
03-12-2024,71684.49438451567
03-12-2024,70571.60570051904
03-12-2024,71031.95004358343
03-12-2024,71391.53988528338
03-12-2024,71222.84718041755
03-12-2024,71084.92776462795
03-12-2024,71026.72013855746
03-12-2024,71108.8610399381
03-13-2024,71444.00014895634
03-13-2024,71417.54325238607
03-13-2024,71995.72357406699
03-13-2024,71983.90087724445
03-13-2024,71998.48126356406
03-13-2024,72151.64616779154
03-13-2024,72169.25932075283
03-13-2024,72684.54104314763
03-13-2024,72932.46206573286
03-13-2024,73438.60673161208
03-13-2024,73294.2191313885
03-13-2024,73288.66139733266
03-13-2024,73152.32057970518
03-13-2024,73022.5823654005
03-13-2024,72070.3393668464
03-13-2024,72361.65617971856
03-13-2024,72681.90126423561
03-13-2024,73050.47345997446
03-13-2024,72964.97438449503
03-13-2024,73221.7658694617
03-13-2024,73266.65491458622
03-13-2024,73206.01989007251
03-13-2024,73185.65850861958
03-13-2024,72985.02941632294
03-14-2024,73090.53245311414
03-14-2024,72825.46161302322
03-14-2024,72972.65052605205
03-14-2024,73018.60285807312
03-14-2024,73272.42972254046
03-14-2024,72731.82069816755
03-14-2024,73134.71637445455
03-14-2024,73580.85602609815
03-14-2024,73416.09966380143
03-14-2024,73386.35672005931
03-14-2024,73376.18197373186
03-14-2024,72966.17825515631
03-14-2024,72912.05906652527
03-14-2024,72907.42267329218
03-14-2024,71902.00011581155
03-14-2024,71469.77998770635
03-14-2024,70993.84713957483
03-14-2024,71322.54913494151
03-14-2024,71031.5317499128
03-14-2024,69809.35031012403
03-14-2024,69359.49810195036
03-14-2024,70725.64361975809
03-14-2024,70840.70603089685
03-14-2024,71456.38950301314
03-15-2024,71385.36632196435
03-15-2024,71867.09224438932
03-15-2024,71545.78892056522
03-15-2024,68779.46744815247
03-15-2024,67922.26211754541
03-15-2024,67444.3427494583
03-15-2024,67536.64289715007
03-15-2024,68560.33779932123
03-15-2024,68466.82440517964
03-15-2024,67047.5397867456
03-15-2024,67877.50859708426
03-15-2024,67306.96851759979
03-15-2024,67737.10352871276
03-15-2024,67902.23047397175
03-15-2024,68432.36982932733
03-15-2024,68593.57064472653
03-15-2024,68148.66770633298
03-15-2024,67874.29187679682
03-15-2024,68192.52823216586
03-15-2024,70380.31298214062
03-15-2024,68699.12702515475
03-15-2024,67859.45627841212
03-15-2024,68252.66362251953
03-15-2024,68861.34404818142
03-16-2024,69440.62221024453
03-16-2024,69751.8160495129
03-16-2024,69259.15745451006
03-16-2024,69016.08184020499
03-16-2024,69033.33066336311
03-16-2024,68976.96143737857
03-16-2024,68975.79911725668
03-16-2024,69194.96136511411
03-16-2024,69382.66216630788
03-16-2024,68984.8394842364
03-16-2024,68972.4023307828
03-16-2024,68404.6538303519
03-16-2024,68293.81593877551
03-16-2024,67928.64758791047
03-16-2024,67839.58824704275
03-16-2024,67919.43036375273
03-16-2024,68265.37917907925
03-16-2024,68143.60834622484
03-16-2024,67275.90800008274
03-16-2024,66652.58943661622
03-16-2024,66782.55917368534
03-16-2024,67067.30497045004
03-16-2024,65933.52686372845
03-16-2024,66305.27460229075
03-17-2024,66007.72518651065
03-17-2024,65125.85067372418
03-17-2024,66093.7118570354
03-17-2024,66290.4479496283
03-17-2024,66510.07119133035
03-17-2024,66327.81820396414
03-17-2024,66211.38797565344
03-17-2024,64998.94046931005
03-17-2024,65581.82101814223
03-17-2024,66376.6166725055
03-17-2024,66396.70906245727
03-17-2024,67101.67527768899
03-17-2024,67033.20891563102
03-17-2024,66430.48019867114
03-17-2024,67002.70928214384
03-17-2024,67527.51467304611
03-17-2024,67926.2282348236
03-17-2024,67921.16882111841
03-17-2024,68265.06294235944
03-17-2024,68155.24240395275
03-17-2024,68526.02541034468
03-17-2024,68212.85471625575
03-17-2024,68264.14013885496
03-17-2024,68208.85415278868
03-18-2024,68274.20303239339
03-18-2024,66857.81812161983
03-18-2024,67615.40027459318
03-18-2024,67721.07556247014
03-18-2024,67905.61505383212
03-18-2024,68358.06355442286
03-18-2024,68643.35824299837
03-18-2024,68437.05625682755
03-18-2024,68229.089871083
03-18-2024,68049.068859338
03-18-2024,67725.32444758777
03-18-2024,67979.90508068174
03-18-2024,68145.79947189869
03-18-2024,68526.81494321358
03-18-2024,67405.17020335695
03-18-2024,66920.4633660893
03-18-2024,67321.58240994561
03-18-2024,66882.77742172776
03-18-2024,67396.25827799448
03-18-2024,67021.98991993096
03-18-2024,67038.25498257075
03-18-2024,67370.16941587218
03-18-2024,67535.12705763559
03-18-2024,67839.14452610933
03-19-2024,67708.94360930806
03-19-2024,67051.4602311967
03-19-2024,65842.8801573583
03-19-2024,65751.62776924972
03-19-2024,65808.89923435738
03-19-2024,65340.53231763715
03-19-2024,65069.79242149465
03-19-2024,64851.175831466564
03-19-2024,64665.90970419674
03-19-2024,63404.62402011625
03-19-2024,63957.640846803915
03-19-2024,63131.19232346666
03-19-2024,63282.938631618774
03-19-2024,63545.64986953504
03-19-2024,63540.42874761364
03-19-2024,62784.12398056628
03-19-2024,63924.536208083475
03-19-2024,64855.17554412205
03-19-2024,64669.820672082315
03-19-2024,64764.14517556257
